"sentence","event_type"
"In Ramadi, a car bomb killed at least 6 people and another 10 were wounded.","Injury"
"Amidst this backdrop, a war between Georgia and separatists left parts of the former South Ossetian Autonomous Oblast under the ""de facto"" control of Russian-backed but internationally unrecognised separatists.","Attack"
"Some complained that the jury misunderstood the meaning of reasonable doubt, while others said the prosecution relied too heavily on the defendant's allegedly poor moral character because they had been unable to show conclusively how the victim had died.","Injury"
"Winds from the cyclone reached 157 km/h (98 mph) in Myanmar, occurring in conjunction with heavy rainfall and a high storm surge.","Disaster"
"The Danes assumed that the Swedes had gone into winter camp and that they would not attack until spring.","Attack"
"The remnants of Igor were later absorbed by another extratropical cyclone over the Labrador Sea on September 23.","Disaster"
"Their leaders argued that there was no evidence of weapons of mass destruction in Iraq and that invading that country was not justified in the context of UNMOVIC's 12 February 2003 report.","Attack"
"The United Nations Interim Force in Lebanon (UNIFIL) confirmed Israel's position, adding that Israel had informed them of the border work beforehand.","Investigation"
"Property damage also resulted from the strong winds.","Disaster"
"The aircraft assigned to the flight was a Boeing 377 Stratocruiser named ""Romance Of The Skies"", and the crash killed all 36 passengers and 8 crew members.","Disaster"
"Summoning ships from the surrounding region, the British commander, Captain Volant Vashon Ballard amassed a significant squadron and forced the French flûtes to anchor in a protected bay at Anse à la Barque, on the southeastern coast of Guadeloupe.","None"
"That treaty, however, was soon undermined by renewed fighting in the Peloponnese.","Disaster"
"The ambush left three soldiers dead.","Attack"
"A medical examination following the accident diagnosed sleep apnea, which had hampered his ability to fully adjust his sleep patterns to the morning shift which he had begun working two weeks earlier.","Investigation"
"On August 12, Rananim moved ashore in China, and it dissipated three days later.","None"
"The Halloway massacre occurred in August 1857 near the head of the Humboldt River and present day Wells, Nevada.","Disaster"
"After protracted litigation in the UK and Germany, the High Court in London ordered a second inquest in 2010, and in 2012 the Frankfurt Higher Regional Court ordered the Wiesbaden police to reopen their investigation.","Investigation"
"Early in its existence, Hellen's rainfall in Mozambique destroyed hundreds of houses and a bridge.","Disaster"
"The French attacked Vimy Ridge and the British attacked further north in the Battle of Aubers Ridge (9 May) and the Battle of Festubert The battle was fought during the German offensive of the Second Battle of Ypres which the Germans ended to reinforce the Artois front.","Attack"
"After passing the decree, the government instituted mass arrests of communists, including all of the Communist Party parliamentary delegates.","None"
"On 22 April an announcement was made to confirm the first set of acts playing.","Investigation"
"Hazel affected Virginia, Washington, D.C., West Virginia, Maryland, Delaware, New Jersey, Pennsylvania, and New York; it brought gusts near and caused $281 million (1954 USD) in damage.","Disaster"
"It was the largest earthquake to occur in the contiguous United States since the 1971 San Fernando earthquake eight years earlier.","Disaster"
"On 27 and 28 June and again on 7 July heavy rain events occurred from powerful thunderstorms that gathered strength as they travelled across mainland Britain.","Disaster"
"As they passed head-on, Rodriguez identified it as an Iraqi, and each pilot turned left to engage the other.","Investigation"
"Tropical Cyclone Gretelle was a deadly storm that struck southeastern Madagascar in January 1997.","Attack"
"The bombardment killed 1,297 French servicemen, sank a battleship and damaged five ships, for a British loss of five aircraft shot down and two crewmen killed.","Attack"
"King Albert I the Belgian Commander in Chief, saw that the Germans had strengthened most of their positions south of Antwerp and reduced the attack to an operation against , which had advanced from Brussels towards Dendermonde.","Attack"
"The internal conflict in Peru is an ongoing armed conflict between the Government of Peru, the Communist Party of Peru (also known as ""Shining Path"" or ""PCP-SL"") and the Túpac Amaru Revolutionary Movement.","Attack"
"The EPLF attacked the ELF when it appeared that the ELF were attempting to negotiate a peace deal with the enemy Soviet and Ethiopian governments.","Attack"
"Various reports suggest that over 100 al-Nusra fighters were killed, which makes the ambush a major victory for Hezbollah.","Injury"
"The U.S. soldiers experienced an unusually high number of severe cases of combat stress reaction.","Attack"
"The injuries included fractures, lacerations and spinal injuries.","Injury"
"These were unsuccessful, however; on 3 March 1974, the rear cargo door of Turkish Airlines Flight 981 blew open for the same reason, causing the aircraft to go out of control and crash in a forest near Paris, France.","Disaster"
"Bayern suffered two injuries in the first half to defender Björn Andersson and striker Uli Hoeneß, following strong tackles by Leeds players.","Injury"
"On October 31, 2013, the U.S. Attorney for the Middle District of Georgia announced that his office would open a formal review into Johnson's death.","Investigation"
"On 18 September, the constitutional Government of Estonia captured the government buildings in Tallinn from the Germans and the city was abandoned by the German forces by 22 September.","Attack"
